input_mode,method,test_acc_mean,test_acc_n,test_acc_std,test_f1_mean,test_f1_n,test_f1_std,val_acc_mean,val_acc_n,val_acc_std,val_f1_mean,val_f1_n,val_f1_std
latent,TCL_pytorch_period_discrimination,0.2680740740740741,9,0.030029523652720966,0.2630421548012673,9,0.029111329633973605,0.3288888888888889,9,0.04653420353638207,0.32818361421275744,9,0.04606798397255192
raw_pca,TCL_pytorch_period_discrimination,0.2648724279835391,9,0.026943392204991524,0.2630326921531521,9,0.027981808670171776,0.3233333333333333,9,0.021081851067789197,0.32372931460242205,9,0.020701062697774376
raw_plus_latent,TCL_pytorch_period_discrimination,0.25896296296296295,9,0.024198992145345224,0.2570664761249113,9,0.024301075142194668,0.33999999999999997,9,0.027487370837451074,0.33951695753480077,9,0.03059156581213533
latent,iVAE_stable_reimplemented,0.26297119341563785,9,0.01716716965606844,0.25846815317610905,9,0.01646820710434883,0.3111111111111111,9,0.038425814368423516,0.31057989182946133,9,0.034873223617026154
raw_pca,iVAE_stable_reimplemented,0.2648724279835391,9,0.026943392204991524,0.2630326921531521,9,0.027981808670171776,0.3233333333333333,9,0.021081851067789197,0.32372931460242205,9,0.020701062697774376
raw_plus_latent,iVAE_stable_reimplemented,0.2554814814814815,9,0.022489015761121646,0.2524093337562178,9,0.021316515993238694,0.3388888888888889,9,0.03478327964999674,0.338662513611484,9,0.03405516914629231
